code,level-front-120,level-future-120,trend,front-min_time,front-min_up_or_down,front-max_time,front-max_up_or_down,future-min_time,future-min_up_or_down,future-max_time,future-max_up_or_down,percent
300528.SZ幸福蓝海,-0.4759254781206946,-2.2321059205626588,-1.7561804424419643,2023-02-26 00:00:00,-5.859406881814335,2023-05-04 00:00:00,8.394638315346974,2023-07-19 00:00:00,-7.216509963207031,2023-09-01 00:00:00,6.050025601242419,0.40540540540540543
000790.SZ华神科技,0.7257051762456417,-1.003448945689002,-1.7291541219346436,2023-05-08 00:00:00,-6.647749617391323,2023-03-12 00:00:00,5.883862923962475,2023-09-05 00:00:00,-8.905265171136058,2023-07-10 00:00:00,4.822639236690938,0.6511627906976745
300589.SZ江龙船艇,-1.083676313805871,-2.7827255303730167,-1.6990492165671458,2023-02-20 00:00:00,-7.4938346980532575,2023-05-15 00:00:00,6.391267339489466,2023-07-11 00:00:00,-9.39924548668794,2023-08-17 00:00:00,4.344011779289406,0.3617021276595745
603859.SH能科科技,0.5754026141060468,-1.1233832191402449,-1.6987858332462915,2023-04-26 00:00:00,-5.282755375517977,2023-03-18 00:00:00,9.106890856975134,2023-06-25 00:00:00,-6.885296186040503,2023-09-14 00:00:00,6.518844463478727,0.631578947368421
300600.SZ国瑞科技,-0.045675821091581116,-1.7423507578124384,-1.6966749367208573,2023-05-09 00:00:00,-6.041838836798086,2023-04-24 00:00:00,8.207743446311722,2023-06-15 00:00:00,-7.416201428036196,2023-08-22 00:00:00,5.49911413958325,0.5
300520.SZ科大国创,1.4158821688444054,-0.2638134007872879,-1.6796955696316933,2023-04-27 00:00:00,-6.203269291760308,2023-03-30 00:00:00,9.225159798977788,2023-06-26 00:00:00,-6.385590922291113,2023-06-03 00:00:00,7.31522695215811,0.68
600200.SH江苏吴中,1.4142091879367473,-0.26462285645706185,-1.6788320443938092,2023-03-09 00:00:00,-6.662349701370257,2023-05-31 00:00:00,6.54536170739331,2023-09-05 00:00:00,-8.32600839034042,2023-08-06 00:00:00,5.433107130056693,0.5121951219512195
300633.SZ开立医疗,0.38306478529593607,-1.2761464014389423,-1.6592111867348784,2023-02-27 00:00:00,-6.723271055996743,2023-03-06 00:00:00,7.828887720627819,2023-06-27 00:00:00,-7.624612462767742,2023-09-02 00:00:00,5.491120574409103,0.5263157894736842
603803.SH瑞斯康达,0.19592751808760056,-1.456967969596684,-1.6528954876842845,2023-04-21 00:00:00,-7.01421264843355,2023-04-04 00:00:00,8.200447220916285,2023-07-17 00:00:00,-7.781373422261574,2023-06-03 00:00:00,7.446030361377179,0.625
002902.SZ铭普光磁,2.455861151200128,0.8051543794019365,-1.6507067717981916,2023-04-27 00:00:00,-4.2957085162951145,2023-06-02 00:00:00,8.650455672438863,2023-07-06 00:00:00,-7.642465330711038,2023-06-02 00:00:00,8.650455672438863,0.8867924528301887
603322.SH超讯通信,0.8813072239253903,-0.7693046878317956,-1.6506119117571858,2023-03-03 00:00:00,-5.008418887339019,2023-04-24 00:00:00,9.552313362378012,2023-07-01 00:00:00,-6.605921653709492,2023-08-22 00:00:00,7.7751929412954714,0.6190476190476191
603516.SH淳中科技,1.5963846806112665,-0.053696273062877824,-1.6500809536741443,2023-03-03 00:00:00,-6.241499633852617,2023-03-31 00:00:00,8.992012048572231,2023-07-01 00:00:00,-6.436956008575082,2023-08-20 00:00:00,5.753079984267124,0.7608695652173914
002649.SZ博彦科技,-0.34030027900304244,-1.988524137451051,-1.6482238584480084,2023-04-13 00:00:00,-6.735208623218593,2023-02-06 00:00:00,6.9053996627420196,2023-08-11 00:00:00,-8.102470709575972,2023-06-03 00:00:00,5.556997735176222,0.5
002456.SZ欧菲光,-1.217356872979582,-2.8632814993047724,-1.6459246263251903,2023-05-08 00:00:00,-7.635210405251441,2023-04-16 00:00:00,5.8010942551569515,2023-09-24 00:00:00,-8.554714316266125,2023-08-14 00:00:00,4.99363612185278,0.45098039215686275
300570.SZ太辰光,2.342169058340937,0.7001747551887647,-1.6419943031521724,2023-04-26 00:00:00,-5.174441532878705,2023-02-23 00:00:00,9.00521775902874,2023-06-25 00:00:00,-5.885343896541466,2023-08-22 00:00:00,7.921628492741691,0.9375
600179.SH安通控股,-1.2622510113350678,-2.893562792150627,-1.6313117808155593,2023-05-08 00:00:00,-7.7817008552741065,2023-04-13 00:00:00,5.968464136904958,2023-09-05 00:00:00,-8.730969049782388,2023-07-30 00:00:00,3.669785030586248,0.6595744680851063
300665.SZ飞鹿股份,-0.591082347270881,-2.198979190985503,-1.607896843714622,2023-05-02 00:00:00,-9.522300856825774,2023-05-13 00:00:00,7.045297575546826,2023-07-01 00:00:00,-9.85418870790739,2023-07-12 00:00:00,4.081237264431451,0.4090909090909091
603286.SH日盈电子,-1.41979975488641,-3.0248094367542353,-1.6050096818678252,2023-04-28 00:00:00,-8.349496715969561,2023-05-25 00:00:00,5.5797815701534965,2023-06-27 00:00:00,-9.918425457651173,2023-09-22 00:00:00,4.253417025199486,0.43243243243243246
002624.SZ完美世界,1.2399663302925081,-0.36189523259914763,-1.6018615628916557,2023-02-12 00:00:00,-4.480384016224621,2023-04-28 00:00:00,8.371712286245279,2023-06-12 00:00:00,-6.669027755899042,2023-08-26 00:00:00,6.0909126548184025,0.7254901960784313
603900.SH莱绅通灵,-0.8748038633644156,-2.473237032145406,-1.5984331687809905,2023-03-13 00:00:00,-7.903201800817901,2023-05-04 00:00:00,6.682826427997954,2023-06-27 00:00:00,-8.859890850256404,2023-09-01 00:00:00,4.116350681442034,0.7941176470588235
300642.SZ透景生命,-0.914259414336998,-2.510469578139913,-1.596210163802915,2023-05-08 00:00:00,-8.12884269891658,2023-03-27 00:00:00,6.241017705488767,2023-07-07 00:00:00,-9.139639343228747,2023-09-02 00:00:00,4.613394589764764,0.6
000975.SZ银泰黄金,-1.6938339626935808,-3.283204481534622,-1.5893705188410412,2023-03-15 00:00:00,-6.422588899153983,2023-05-06 00:00:00,6.212987298185381,2023-09-06 00:00:00,-8.145622402746035,2023-07-05 00:00:00,4.49644010467598,0.2978723404255319
603579.SH荣泰健康,-0.36333940123516095,-1.9483315083752002,-1.5849921071400392,2023-04-28 00:00:00,-7.9833180704345414,2023-05-21 00:00:00,6.462444811708809,2023-08-26 00:00:00,-8.587127765850475,2023-07-20 00:00:00,4.384439672713097,0.6176470588235294
002236.SZ大华股份,1.4132202797252162,-0.16522546754308887,-1.578445747268305,2023-04-09 00:00:00,-7.399833190880985,2023-03-14 00:00:00,7.810687891983557,2023-06-08 00:00:00,-8.444570858772869,2023-08-13 00:00:00,5.470898787362874,0.7111111111111111
300743.SZ天地数码,2.5722774101258996,1.0019614890038884,-1.5703159211220112,2023-03-02 00:00:00,-4.094395843074642,2023-06-01 00:00:00,9.35076590065696,2023-08-29 00:00:00,-5.403207285618269,2023-09-29 00:00:00,7.134062985298775,0.8545454545454545
002224.SZ三力士,-1.8321451993214994,-3.397975179267952,-1.5658299799464523,2023-03-15 00:00:00,-7.050716626197401,2023-04-07 00:00:00,7.493514756635562,2023-09-11 00:00:00,-8.006958794873064,2023-08-05 00:00:00,5.338158714726531,0.7083333333333334
603533.SH掌阅科技,1.2435839500927426,-0.3147915318203244,-1.558375481913067,2023-05-07 00:00:00,-5.259759621850678,2023-03-12 00:00:00,9.967218930922044,2023-07-06 00:00:00,-6.197593458244218,2023-09-08 00:00:00,6.4658996477391035,0.6666666666666666
601900.SH南方传媒,-0.6438424012085098,-2.193915679718173,-1.5500732785096631,2023-02-02 00:00:00,-6.77539183197456,2023-04-25 00:00:00,9.617344335366436,2023-09-13 00:00:00,-6.235528524196786,2023-07-30 00:00:00,6.2051812095905445,0.38095238095238093
300543.SZ朗科智能,-0.39968043241336026,-1.9470827463078488,-1.5474023138944886,2023-02-25 00:00:00,-7.0158522677203035,2023-04-19 00:00:00,7.184710019507566,2023-06-25 00:00:00,-8.25959833278233,2023-08-17 00:00:00,4.566690689475729,0.4411764705882353
603515.SH欧普照明,0.8812200841739798,-0.6615719886009704,-1.5427920727749502,2023-05-18 00:00:00,-5.2579174064597805,2023-03-16 00:00:00,7.123279525189872,2023-08-03 00:00:00,-6.719407221880836,2023-09-12 00:00:00,6.337310200551728,0.6923076923076923
300740.SZ水羊股份,1.562173134406359,0.02861293695469716,-1.5335601974516617,2023-05-18 00:00:00,-5.6375720619447245,2023-02-23 00:00:00,8.144833647235792,2023-06-30 00:00:00,-6.906490089406515,2023-08-22 00:00:00,6.400755981525355,0.8085106382978723
300560.SZ中富通,0.13082373123955873,-1.3997646471671659,-1.5305883784067247,2023-05-02 00:00:00,-6.862073895284468,2023-05-31 00:00:00,8.749179760789096,2023-07-01 00:00:00,-6.501718267849603,2023-09-28 00:00:00,5.301929973452553,0.65
300692.SZ中环环保,-1.0959716095540921,-2.6248547516057648,-1.5288831420516726,2023-05-07 00:00:00,-7.1594291744483805,2023-02-12 00:00:00,5.610651621971261,2023-07-23 00:00:00,-8.260779460974815,2023-06-12 00:00:00,4.639360096591767,0.525
601360.SH三六零,3.146075571808751,1.6179273487981627,-1.5281482230105885,2023-04-18 00:00:00,-4.872618781758952,2023-03-29 00:00:00,9.934544232277476,2023-06-17 00:00:00,-6.327823873131237,2023-08-10 00:00:00,8.584358206294043,0.9032258064516129
300710.SZ万隆光电,0.24529966512161278,-1.2710698248378125,-1.5163694899594253,2023-04-18 00:00:00,-5.9759131705004656,2023-03-07 00:00:00,6.953607338494026,2023-07-17 00:00:00,-8.138969508954624,2023-08-31 00:00:00,5.42482486454006,0.7068965517241379
300731.SZ科创新源,1.6662647577574032,0.15011543166237654,-1.5161493260950267,2023-02-16 00:00:00,-6.805161288865747,2023-03-28 00:00:00,7.911246348428988,2023-06-16 00:00:00,-7.738143421039057,2023-08-20 00:00:00,5.754393804918668,0.8723404255319149
603180.SH金牌厨柜,-1.9728342936027066,-3.4786087041200737,-1.5057744105173672,2023-05-14 00:00:00,-8.17998207230187,2023-02-02 00:00:00,6.793172734889817,2023-07-13 00:00:00,-9.17954197494084,2023-09-28 00:00:00,4.698392430579089,0.6491228070175439
